concept:name,org:resource,Activity,Resource,@@startevent_concept:name,@@startevent_org:resource,@@startevent_Activity,@@startevent_Resource,start_timestamp,time:timestamp,@@duration,case:concept:name,case:variant,case:variant-index,case:creator
Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,2011-02-21 23:14:00-05:00,2011-02-21 23:21:00-05:00,420.0,327,Variant 2,2,Fluxicon Disco
Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,2011-02-22 09:32:00-05:00,2011-02-22 09:59:00-05:00,1620.0,327,Variant 2,2,Fluxicon Disco
Deliver Goods Services,Karen Clarens,Deliver Goods Services,Karen Clarens,Deliver Goods Services,Karen Clarens,Deliver Goods Services,Karen Clarens,2011-02-25 05:39:00-05:00,2011-02-25 20:11:00-05:00,52320.0,327,Variant 2,2,Fluxicon Disco
Release Purchase Order,Clement Duchot,Release Purchase Order,Clement Duchot,Release Purchase Order,Clement Duchot,Release Purchase Order,Clement Duchot,2011-02-26 03:27:00-05:00,2011-02-26 03:28:00-05:00,60.0,327,Variant 2,2,Fluxicon Disco
Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,2011-02-26 13:24:00-05:00,2011-02-26 13:25:00-05:00,60.0,327,Variant 2,2,Fluxicon Disco
Send Invoice,Karen Clarens,Send Invoice,Karen Clarens,Send Invoice,Karen Clarens,Send Invoice,Karen Clarens,2011-02-26 19:40:00-05:00,2011-02-26 19:40:00-05:00,0.0,327,Variant 2,2,Fluxicon Disco
Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,2011-02-27 10:01:00-05:00,2011-02-27 10:06:00-05:00,300.0,327,Variant 2,2,Fluxicon Disco
Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-02-27 10:06:00-05:00,2011-02-27 10:06:00-05:00,0.0,327,Variant 2,2,Fluxicon Disco
Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,Pay Invoice,Pedro Alvares,2011-02-27 10:34:00-05:00,2011-02-27 10:38:00-05:00,240.0,327,Variant 2,2,Fluxicon Disco
Create Purchase Requisition,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,Create Purchase Requisition,Tesca Lobes,2011-02-15 03:47:00-05:00,2011-02-15 04:18:00-05:00,1860.0,329,Variant 7,7,Fluxicon Disco
Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,2011-02-16 04:47:00-05:00,2011-02-16 04:54:00-05:00,420.0,329,Variant 7,7,Fluxicon Disco
Create Request for Quotation,Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,Maris Freeman,Create Request for Quotation,Maris Freeman,2011-02-16 04:57:00-05:00,2011-02-16 05:00:00-05:00,180.0,329,Variant 7,7,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-02-17 10:34:00-05:00,2011-02-17 10:54:00-05:00,1200.0,329,Variant 7,7,Fluxicon Disco
Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,Send Request for Quotation to Supplier,Karel de Groot,2011-02-19 00:32:00-05:00,2011-02-19 00:56:00-05:00,1440.0,329,Variant 7,7,Fluxicon Disco
Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,Create Quotation comparison Map,Karel de Groot,2011-02-19 10:11:00-05:00,2011-02-19 16:08:00-05:00,21420.0,329,Variant 7,7,Fluxicon Disco
Analyze Quotation Comparison Map,Penn Osterwalder,Analyze Quotation Comparison Map,Penn Osterwalder,Analyze Quotation Comparison Map,Penn Osterwalder,Analyze Quotation Comparison Map,Penn Osterwalder,2011-02-19 23:05:00-05:00,2011-02-19 23:15:00-05:00,600.0,329,Variant 7,7,Fluxicon Disco
Choose best option,Tesca Lobes,Choose best option,Tesca Lobes,Choose best option,Tesca Lobes,Choose best option,Tesca Lobes,2011-02-19 23:15:00-05:00,2011-02-19 23:15:00-05:00,0.0,329,Variant 7,7,Fluxicon Disco
Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,2011-02-20 02:38:00-05:00,2011-02-20 06:42:00-05:00,14640.0,329,Variant 7,7,Fluxicon Disco
Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,2011-02-20 09:28:00-05:00,2011-02-20 09:36:00-05:00,480.0,329,Variant 7,7,Fluxicon Disco
Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,2011-02-20 17:40:00-05:00,2011-02-20 18:10:00-05:00,1800.0,329,Variant 7,7,Fluxicon Disco
Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,2011-02-22 17:48:00-05:00,2011-02-23 21:39:00-05:00,100260.0,329,Variant 7,7,Fluxicon Disco
Release Purchase Order,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,Release Purchase Order,Anna Kaufmann,2011-02-24 04:39:00-05:00,2011-02-24 04:40:00-05:00,60.0,329,Variant 7,7,Fluxicon Disco
Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,2011-02-24 15:16:00-05:00,2011-02-24 15:17:00-05:00,60.0,329,Variant 7,7,Fluxicon Disco
Send Invoice,Karen Clarens,Send Invoice,Karen Clarens,Send Invoice,Karen Clarens,Send Invoice,Karen Clarens,2011-02-25 20:11:00-05:00,2011-02-25 20:11:00-05:00,0.0,329,Variant 7,7,Fluxicon Disco
Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,2011-02-26 10:34:00-05:00,2011-02-26 10:37:00-05:00,180.0,329,Variant 7,7,Fluxicon Disco
Settle Dispute With Supplier,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,Settle Dispute With Supplier,Pedro Alvares,2011-02-26 11:17:00-05:00,2011-02-26 11:51:00-05:00,2040.0,329,Variant 7,7,Fluxicon Disco
Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,Authorize Supplier's Invoice payment,Karalda Nimwada,2011-02-26 11:51:00-05:00,2011-02-26 11:51:00-05:00,0.0,329,Variant 7,7,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-02-26 12:34:00-05:00,2011-02-26 12:39:00-05:00,300.0,329,Variant 7,7,Fluxicon Disco
Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,2011-02-15 13:26:00-05:00,2011-02-15 14:06:00-05:00,2400.0,330,Variant 18,18,Fluxicon Disco
Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,2011-02-16 09:12:00-05:00,2011-02-16 09:18:00-05:00,360.0,330,Variant 18,18,Fluxicon Disco
Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,2011-02-16 09:24:00-05:00,2011-02-16 09:27:00-05:00,180.0,330,Variant 18,18,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-02-16 10:49:00-05:00,2011-02-16 11:21:00-05:00,1920.0,330,Variant 18,18,Fluxicon Disco
Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,Anne Olwada,Amend Request for Quotation,Anne Olwada,2011-02-16 12:27:00-05:00,2011-02-16 12:33:00-05:00,360.0,330,Variant 18,18,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-02-20 11:11:00-05:00,2011-02-20 11:39:00-05:00,1680.0,330,Variant 18,18,Fluxicon Disco
Amend Request for Quotation,Clement Duchot,Amend Request for Quotation,Clement Duchot,Amend Request for Quotation,Clement Duchot,Amend Request for Quotation,Clement Duchot,2011-02-20 12:26:00-05:00,2011-02-20 12:40:00-05:00,840.0,330,Variant 18,18,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-02-21 07:26:00-05:00,2011-02-21 07:59:00-05:00,1980.0,330,Variant 18,18,Fluxicon Disco
Create Purchase Requisition,Immanuel Karagianni,Create Purchase Requisition,Immanuel Karagianni,Create Purchase Requisition,Immanuel Karagianni,Create Purchase Requisition,Immanuel Karagianni,2011-02-16 04:45:00-05:00,2011-02-16 05:03:00-05:00,1080.0,334,Variant 4,4,Fluxicon Disco
Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,2011-02-16 15:40:00-05:00,2011-02-16 15:48:00-05:00,480.0,334,Variant 4,4,Fluxicon Disco
Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,2011-02-16 15:56:00-05:00,2011-02-16 15:58:00-05:00,120.0,334,Variant 4,4,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-02-20 13:09:00-05:00,2011-02-20 13:36:00-05:00,1620.0,334,Variant 4,4,Fluxicon Disco
Create Purchase Requisition,Kim Passa,Create Purchase Requisition,Kim Passa,Create Purchase Requisition,Kim Passa,Create Purchase Requisition,Kim Passa,2011-02-16 05:46:00-05:00,2011-02-16 05:53:00-05:00,420.0,335,Variant 1,1,Fluxicon Disco
Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,2011-02-16 16:55:00-05:00,2011-02-16 17:01:00-05:00,360.0,335,Variant 1,1,Fluxicon Disco
Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,2011-02-16 17:05:00-05:00,2011-02-16 17:06:00-05:00,60.0,335,Variant 1,1,Fluxicon Disco
Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,Analyze Request for Quotation,Karel de Groot,2011-02-20 11:40:00-05:00,2011-02-20 12:07:00-05:00,1620.0,335,Variant 1,1,Fluxicon Disco
Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,Send Request for Quotation to Supplier,Francois de Perrier,2011-02-20 17:30:00-05:00,2011-02-20 17:59:00-05:00,1740.0,335,Variant 1,1,Fluxicon Disco
Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,Create Quotation comparison Map,Francois de Perrier,2011-02-20 18:24:00-05:00,2011-02-20 23:30:00-05:00,18360.0,335,Variant 1,1,Fluxicon Disco
Analyze Quotation Comparison Map,Immanuel Karagianni,Analyze Quotation Comparison Map,Immanuel Karagianni,Analyze Quotation Comparison Map,Immanuel Karagianni,Analyze Quotation Comparison Map,Immanuel Karagianni,2011-02-21 06:07:00-05:00,2011-02-21 06:35:00-05:00,1680.0,335,Variant 1,1,Fluxicon Disco
Choose best option,Alberto Duport,Choose best option,Alberto Duport,Choose best option,Alberto Duport,Choose best option,Alberto Duport,2011-02-21 06:35:00-05:00,2011-02-21 06:35:00-05:00,0.0,335,Variant 1,1,Fluxicon Disco
Settle Conditions With Supplier,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,2011-02-21 09:26:00-05:00,2011-02-21 23:14:00-05:00,49680.0,335,Variant 1,1,Fluxicon Disco
Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,Create Purchase Order,Magdalena Predutta,2011-02-22 09:26:00-05:00,2011-02-22 09:34:00-05:00,480.0,335,Variant 1,1,Fluxicon Disco
Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,Confirm Purchase Order,Karen Clarens,2011-02-23 02:48:00-05:00,2011-02-23 02:53:00-05:00,300.0,335,Variant 1,1,Fluxicon Disco
Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,Deliver Goods Services,Esmeralda Clay,2011-02-23 21:39:00-05:00,2011-02-25 17:39:00-05:00,158400.0,335,Variant 1,1,Fluxicon Disco
Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,Release Purchase Order,Miu Hanwan,2011-02-26 01:43:00-05:00,2011-02-26 01:44:00-05:00,60.0,335,Variant 1,1,Fluxicon Disco
Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,2011-02-28 08:34:00-05:00,2011-02-28 08:35:00-05:00,60.0,335,Variant 1,1,Fluxicon Disco
Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,Send Invoice,Kiu Kan,2011-02-28 20:12:00-05:00,2011-02-28 20:12:00-05:00,0.0,335,Variant 1,1,Fluxicon Disco
Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,2011-03-01 10:29:00-05:00,2011-03-01 10:34:00-05:00,300.0,335,Variant 1,1,Fluxicon Disco
Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,2011-03-01 10:34:00-05:00,2011-03-01 10:34:00-05:00,0.0,335,Variant 1,1,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-03-01 10:54:00-05:00,2011-03-01 11:09:00-05:00,900.0,335,Variant 1,1,Fluxicon Disco
Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,2011-02-16 14:31:00-05:00,2011-02-16 15:23:00-05:00,3120.0,339,Variant 44,44,Fluxicon Disco
Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,Analyze Purchase Requisition,Maris Freeman,2011-02-17 09:34:00-05:00,2011-02-17 09:40:00-05:00,360.0,339,Variant 44,44,Fluxicon Disco
Amend Purchase Requisition,Elvira Lores,Amend Purchase Requisition,Elvira Lores,Amend Purchase Requisition,Elvira Lores,Amend Purchase Requisition,Elvira Lores,2011-02-17 21:29:00-05:00,2011-02-17 21:52:00-05:00,1380.0,339,Variant 44,44,Fluxicon Disco
Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,Analyze Purchase Requisition,Heinz Gutschmidt,2011-02-18 17:24:00-05:00,2011-02-18 17:30:00-05:00,360.0,339,Variant 44,44,Fluxicon Disco
Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,Create Request for Quotation,Francis Odell,2011-02-18 17:36:00-05:00,2011-02-18 17:38:00-05:00,120.0,339,Variant 44,44,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-02-22 09:34:00-05:00,2011-02-22 09:58:00-05:00,1440.0,339,Variant 44,44,Fluxicon Disco
Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,Amend Request for Quotation,Penn Osterwalder,2011-02-22 10:50:00-05:00,2011-02-22 11:03:00-05:00,780.0,339,Variant 44,44,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-02-28 08:10:00-05:00,2011-02-28 08:34:00-05:00,1440.0,339,Variant 44,44,Fluxicon Disco
Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,Create Purchase Requisition,Nico Ojenbeer,2011-02-16 17:11:00-05:00,2011-02-16 17:24:00-05:00,780.0,340,Variant 25,25,Fluxicon Disco
Create Request for Quotation,Immanuel Karagianni,Create Request for Quotation,Immanuel Karagianni,Create Request for Quotation,Immanuel Karagianni,Create Request for Quotation,Immanuel Karagianni,2011-02-16 22:04:00-05:00,2011-02-16 22:11:00-05:00,420.0,340,Variant 25,25,Fluxicon Disco
Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,Analyze Request for Quotation,Francois de Perrier,2011-02-22 10:16:00-05:00,2011-02-22 10:18:00-05:00,120.0,340,Variant 25,25,Fluxicon Disco
Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,2011-02-23 05:23:00-05:00,2011-02-23 05:39:00-05:00,960.0,340,Variant 25,25,Fluxicon Disco
Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,2011-02-23 05:48:00-05:00,2011-02-23 09:14:00-05:00,12360.0,340,Variant 25,25,Fluxicon Disco
Analyze Quotation Comparison Map,Miu Hanwan,Analyze Quotation Comparison Map,Miu Hanwan,Analyze Quotation Comparison Map,Miu Hanwan,Analyze Quotation Comparison Map,Miu Hanwan,2011-02-23 15:40:00-05:00,2011-02-23 16:03:00-05:00,1380.0,340,Variant 25,25,Fluxicon Disco
Choose best option,Anne Olwada,Choose best option,Anne Olwada,Choose best option,Anne Olwada,Choose best option,Anne Olwada,2011-02-23 16:03:00-05:00,2011-02-23 16:03:00-05:00,0.0,340,Variant 25,25,Fluxicon Disco
Settle Conditions With Supplier,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,Settle Conditions With Supplier,Karel de Groot,2011-02-23 20:34:00-05:00,2011-02-24 11:13:00-05:00,52740.0,340,Variant 25,25,Fluxicon Disco
Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,Create Purchase Order,Francois de Perrier,2011-02-24 15:28:00-05:00,2011-02-24 15:35:00-05:00,420.0,340,Variant 25,25,Fluxicon Disco
Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,Confirm Purchase Order,Esmeralda Clay,2011-02-26 02:51:00-05:00,2011-02-26 03:26:00-05:00,2100.0,340,Variant 25,25,Fluxicon Disco
Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,Deliver Goods Services,Carmen Finacse,2011-02-27 13:19:00-05:00,2011-03-01 07:52:00-05:00,153180.0,340,Variant 25,25,Fluxicon Disco
Release Purchase Order,Alberto Duport,Release Purchase Order,Alberto Duport,Release Purchase Order,Alberto Duport,Release Purchase Order,Alberto Duport,2011-03-01 15:15:00-05:00,2011-03-01 15:16:00-05:00,60.0,340,Variant 25,25,Fluxicon Disco
Settle Dispute With Supplier,Karel de Groot,Settle Dispute With Supplier,Karel de Groot,Settle Dispute With Supplier,Karel de Groot,Settle Dispute With Supplier,Karel de Groot,2011-03-01 19:28:00-05:00,2011-03-02 04:51:00-05:00,33780.0,340,Variant 25,25,Fluxicon Disco
Release Purchase Order,Tesca Lobes,Release Purchase Order,Tesca Lobes,Release Purchase Order,Tesca Lobes,Release Purchase Order,Tesca Lobes,2011-03-02 11:59:00-05:00,2011-03-02 12:00:00-05:00,60.0,340,Variant 25,25,Fluxicon Disco
Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,Approve Purchase Order for payment,Francois de Perrier,2011-03-02 19:56:00-05:00,2011-03-02 19:57:00-05:00,60.0,340,Variant 25,25,Fluxicon Disco
Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,Send Invoice,Esmeralda Clay,2011-03-04 01:44:00-05:00,2011-03-04 01:44:00-05:00,0.0,340,Variant 25,25,Fluxicon Disco
Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,Release Supplier's Invoice,Pedro Alvares,2011-03-04 15:58:00-05:00,2011-03-04 16:03:00-05:00,300.0,340,Variant 25,25,Fluxicon Disco
Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,Authorize Supplier's Invoice payment,Pedro Alvares,2011-03-04 16:03:00-05:00,2011-03-04 16:03:00-05:00,0.0,340,Variant 25,25,Fluxicon Disco
Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,Pay Invoice,Karalda Nimwada,2011-03-04 16:17:00-05:00,2011-03-04 16:26:00-05:00,540.0,340,Variant 25,25,Fluxicon Disco
Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,Create Purchase Requisition,Christian Francois,2011-02-17 00:39:00-05:00,2011-02-17 01:09:00-05:00,1800.0,343,Variant 1,1,Fluxicon Disco
Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,Analyze Purchase Requisition,Francis Odell,2011-02-17 15:09:00-05:00,2011-02-17 15:18:00-05:00,540.0,343,Variant 1,1,Fluxicon Disco
Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,Create Request for Quotation,Heinz Gutschmidt,2011-02-17 15:26:00-05:00,2011-02-17 15:29:00-05:00,180.0,343,Variant 1,1,Fluxicon Disco
Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,Analyze Request for Quotation,Magdalena Predutta,2011-02-20 08:05:00-05:00,2011-02-20 08:31:00-05:00,1560.0,343,Variant 1,1,Fluxicon Disco
Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,Send Request for Quotation to Supplier,Magdalena Predutta,2011-02-22 08:41:00-05:00,2011-02-22 09:04:00-05:00,1380.0,343,Variant 1,1,Fluxicon Disco
Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,Create Quotation comparison Map,Magdalena Predutta,2011-02-22 10:15:00-05:00,2011-02-22 14:07:00-05:00,13920.0,343,Variant 1,1,Fluxicon Disco
Analyze Quotation Comparison Map,Kim Passa,Analyze Quotation Comparison Map,Kim Passa,Analyze Quotation Comparison Map,Kim Passa,Analyze Quotation Comparison Map,Kim Passa,2011-02-22 21:06:00-05:00,2011-02-22 21:36:00-05:00,1800.0,343,Variant 1,1,Fluxicon Disco
Choose best option,Immanuel Karagianni,Choose best option,Immanuel Karagianni,Choose best option,Immanuel Karagianni,Choose best option,Immanuel Karagianni,2011-02-22 21:36:00-05:00,2011-02-22 21:36:00-05:00,0.0,343,Variant 1,1,Fluxicon Disco
Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,Settle Conditions With Supplier,Magdalena Predutta,2011-02-23 15:04:00-05:00,2011-02-24 03:45:00-05:00,45660.0,343,Variant 1,1,Fluxicon Disco
Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,Create Purchase Order,Karel de Groot,2011-02-24 11:13:00-05:00,2011-02-24 11:20:00-05:00,420.0,343,Variant 1,1,Fluxicon Disco
Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,Confirm Purchase Order,Carmen Finacse,2011-02-26 01:44:00-05:00,2011-02-26 01:58:00-05:00,840.0,343,Variant 1,1,Fluxicon Disco
Deliver Goods Services,Kiu Kan,Deliver Goods Services,Kiu Kan,Deliver Goods Services,Kiu Kan,Deliver Goods Services,Kiu Kan,2011-02-27 09:13:00-05:00,2011-02-28 20:12:00-05:00,125940.0,343,Variant 1,1,Fluxicon Disco
Release Purchase Order,Clement Duchot,Release Purchase Order,Clement Duchot,Release Purchase Order,Clement Duchot,Release Purchase Order,Clement Duchot,2011-03-01 04:14:00-05:00,2011-03-01 04:15:00-05:00,60.0,343,Variant 1,1,Fluxicon Disco
Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,Approve Purchase Order for payment,Magdalena Predutta,2011-03-01 23:50:00-05:00,2011-03-01 23:51:00-05:00,60.0,343,Variant 1,1,Fluxicon Disco
